age,avg
87,0.00000000000000000000
74,3210.7254901960784314
29,482.5707257072570726
54,1376.1759036144578313
71,2852.1527777777777778
68,1463.7916666666666667
34,602.5304740406320542
51,1676.0605042016806723
80,546.0909090909090909
70,993.4943820224719101
52,2564.2635983263598326
83,3341.8333333333333333
67,2343.9735099337748344
63,1347.2695652173913043
90,1935.2558139534883721
35,597.9463470319634703
45,1188.1989100817438692
86,0.00000000000000000000
84,0.00000000000000000000
39,1339.9718137254901961
69,3317.9351851851851852
36,1199.6837416481069042
31,545.2274774774774775
50,2436.6594684385382060
60,1354.8782051282051282
66,1687.9400000000000000
22,352.6313725490196078
59,1392.5802816901408451
65,3523.7078651685393258
62,1138.8798449612403101
75,946.0444444444444444
73,964.6562500000000000
44,1403.5138121546961326
42,1513.2000000000000000
88,0.00000000000000000000
82,0.00000000000000000000
41,1318.3094059405940594
46,1854.9226594301221167
40,1207.8891687657430730
43,1466.2298701298701299
32,1172.5084541062801932
53,1842.4525862068965517
38,1682.4220072551390568
79,2861.6363636363636364
26,341.6305732484076433
48,1393.1952117863720074
85,0.00000000000000000000
72,2056.1791044776119403
78,5208.2173913043478261
57,1862.1787709497206704
24,280.7293233082706767
81,249.9000000000000000
61,1030.4600000000000000
19,92.0926966292134831
77,1160.5517241379310345
25,279.2972651605231867
30,886.4610917537746806
21,204.6250000000000000
49,1940.2755632582322357
47,2425.9378531073446328
17,109.6911392405063291
20,82.7861885790172643
37,1212.0268065268065268
28,551.8027681660899654
33,821.3360000000000000
76,492.3478260869565217
18,102.0581818181818182
64,1528.7884615384615385
55,2179.1789976133651551
27,255.5604790419161677
23,103.0992018244013683
56,1483.9590163934426230
58,1503.3497267759562842
