native_country,avg
 Germany,41.0145985401459854
 Scotland,41.2500000000000000
 Thailand,45.4444444444444444
 Outlying-US(Guam-USVI-etc),41.8571428571428571
 France,45.0689655172413793
 Guatemala,39.2343750000000000
 Portugal,41.8918918918918919
 Greece,44.2413793103448276
 Puerto-Rico,38.5701754385964912
 Poland,38.3333333333333333
 Cambodia,40.8947368421052632
 Haiti,36.9090909090909091
 Laos,40.3333333333333333
 England,41.8333333333333333
 Cuba,39.1578947368421053
 Italy,41.6027397260273973
 El-Salvador,36.7924528301886792
 Jamaica,38.5925925925925926
 Ireland,42.4166666666666667
 Nicaragua,36.1764705882352941
 Mexico,40.3405909797822706
 Ecuador,39.5714285714285714
 Peru,35.3870967741935484
 Dominican-Republic,42.4714285714285714
 South,42.4125000000000000
 Iran,43.9767441860465116
 Trinadad&Tobago,37.3684210526315789
 ?,41.5128644939965695
 Holand-Netherlands,40.0000000000000000
 Hungary,35.6153846153846154
 Yugoslavia,44.5625000000000000
 Canada,40.4049586776859504
 Honduras,36.3076923076923077
 Philippines,39.5959595959595960
 United-States,40.4477545423380185
 Hong,40.9000000000000000
 Vietnam,37.3432835820895522
 Taiwan,38.8823529411764706
 Columbia,39.0677966101694915
 China,37.7866666666666667
 India,41.5300000000000000
 Japan,43.6935483870967742
